published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49703035,null,"Electron Energy Loss Spectroscopy for Single Atom Catalysis",null,"[Zirui Gao,Aowen Li,Ding Ma,Wu Zhou]",null,null,"Single atom catalysts (SACs) have attracted intense interest because of their ultimate metal utilization efficiency and outstanding catalytic performance. Unveiling the structural and chemistry characteristics of SACs at the single-atom level is crucial for understanding the structure-property relationship in SACs and the design of novel SACs for specific target reactions. Aberration corrected (scanning) transmission electron microscopy ((S)TEM) equipped with various advanced imaging detectors and spectrometers is regarded as a versatile platform for structural analysis of heterogeneous catalysts. In particular, electron energy-loss spectroscopy (EELS) on aberration-corrected STEM can offer chemical imaging at the atomic scale, taking advantage of the energy-loss occurring when the incident electrons interact inelastically with samples. In addition, a wide range of chemical and physical properties of SACs, such as valence state, bonding and coordination environment, as well as vibrations of absorbed molecules, can be readily revealed by STEM-EELS. In this review article, we use some recent representative studies of SACs to demonstrate the indispensable role and the general applicability of STEM-EELS. Furthermore, we share our insights on the future development of atomic scale EELS analysis, including the improvement of microscope and spectrometer hardware and signal denoising algorithm, as well as the combination with in-situ techniques.",null,"SPRINGER/PLENUM PUBLISHERS",2022-11,null,"TOPICS IN CATALYSIS",65,17-18,1609,1619,eng,null,null,scientific_journal,null,null,10.1007/s11244-022-01577-7,1022-5528,1572-9028,null,null,false,disclosed
insert,merge,null,49703034,null,"Electrochemical CO<sub>2</sub> reduction to ethylene by ultrathin CuO nanoplate arrays",null,"[Wei Liu,Pengbo Zhai,Aowen Li,Bo Wei,Kunpeng Si,Yi Wei,Xingguo Wang,Guangda Zhu,Qian Chen,Xiaokang Gu,Ruifeng Zhang,Wu Zhou,Yongji Gong]",null,null,"Electrochemical reduction of CO2 to multi-carbon fuels and chemical feedstocks is an appealing approach to mitigate excessive CO2 emissions. However, the reported catalysts always show either a low Faradaic efficiency of the C2+ product or poor long-term stability. Herein, we report a facile and scalable anodic corrosion method to synthesize oxygen-rich ultrathin CuO nanoplate arrays, which form Cu/Cu2O heterogeneous interfaces through self-evolution during electrocatalysis. The catalyst exhibits a high C2H4 Faradaic efficiency of 84.5%, stable electrolysis for similar to 55 h in a flow cell using a neutral KCI electrolyte, and a full-cell ethylene energy efficiency of 27.6% at 200 mA cm(-2) in a membrane electrode assembly electrolyzer. Mechanism analyses reveal that the stable nanostructures, stable Cu/Cu2O interfaces, and enhanced adsorption of the *OCCOH intermediate preserve selective and prolonged C2H4 production. The robust and scalable produced catalyst coupled with mild electrolytic conditions facilitates the practical application of electrochemical CO2 reduction.",null,"NATURE PORTFOLIO",2022-04-06,null,"NATURE COMMUNICATIONS",13,1,null,null,eng,null,null,scientific_journal,null,null,10.1038/s41467-022-29428-9,null,2041-1723,null,null,false,disclosed
insert,merge,null,49703037,null,"Copper-catalysed exclusive CO<sub>2</sub> to pure formic acid conversion via single-atom alloying",null,"[Tingting Zheng,Chunxiao Liu,Chenxi Guo,Menglu Zhang,Xu Li,Qiu Jiang,Weiqing Xue,Hongliang Li,Aowen Li,Chih-Wen Pao,Jianping Xiao,Chuan Xia,Jie Zeng]",null,null,"Converting CO2 emissions, powered by renewable electricity, to produce fuels and chemicals provides an elegant route towards a carbon-neutral energy cycle. Progress in the understanding and synthesis of Cu catalysts has spurred the explosive development of electrochemical CO2 reduction (CO2RR) technology to produce hydrocarbons and oxygenates; however, Cu, as the predominant catalyst, often exhibits limited selectivity and activity towards a specific product, leading to low productivity and substantial post-reaction purification. Here, we present a single-atom Pb-alloyed Cu catalyst (Pb1Cu) that can exclusively (similar to 96% Faradaic efficiency) convert CO2 into formate with high activity in excess of 1 A cm(-2). The Pb1Cu electrocatalyst converts CO2 into formate on the modulated Cu sites rather than on the isolated Pb. In situ spectroscopic evidence and theoretical calculations revealed that the activated Cu sites of the Pb1Cu catalyst regulate the first protonation step of the CO2RR and divert the CO2RR towards a HCOO* path rather than a COOH* path, thus thwarting the possibility of other products. We further showcase the continuous production of a pure formic acid solution at 100 mA cm(-2) over 180 h using a solid electrolyte reactor and Pb1Cu.",null,"NATURE PORTFOLIO",2021-12,null,"NATURE NANOTECHNOLOGY",16,12,1386,U94,eng,null,null,scientific_journal,null,null,10.1038/s41565-021-00974-5,1748-3387,1748-3395,null,null,false,disclosed
insert,merge,null,49703036,null,"Non-Bonding Interaction of Neighboring Fe and Ni Single-Atom Pairs on MOF-Derived N-Doped Carbon for Enhanced CO<sub>2</sub> Electroreduction",null,"[Long Jiao,Juntong Zhu,Yan Zhang,Weijie Yang,Siyuan Zhou,Aowen Li,Chenfan Xie,Xusheng Zheng,Wu Zhou,Shu-Hong Yu,Hai-Long Jiang]",null,null,"Single-atom catalysts (SACs), featuring high atom utilization, have captured widespread interests in diverse applications. However, the single-atom sites in SACs are generally recognized as independent units and the interplay of adjacent sites is largely overlooked. Herein, by the direct pyrolysis of MOFs assembled with Fe and Ni-doped ZnO nanoparticles, a novel Fe-1-Ni-1-N-C catalyst, with neighboring Fe and Ni single-atom pairs decorated on nitrogen-doped carbon support, has been precisely constructed. Thanks to the synergism of neighboring Fe and Ni single-atom pairs, Fe-1-Ni-1-N-C presents significantly boosted performances for electrocatalytic reduction of CO2, far surpassing Fe-1-N-C and Ni-1-N-C with separate Fe or Ni single atoms. Additionally, the Fe-1-Ni-1-N-C also exhibits superior performance with excellent CO selectivity and durability in Zn-CO2 battery. Theoretical simulations reveal that, in Fe-1-Ni-1-N-C, single Fe atoms can be highly activated by adjacent single-atom Ni via non-bonding interaction, significantly facilitating the formation of COOH* intermediate and thereby accelerating the overall CO2 reduction. This work supplies a general strategy to construct single-atom catalysts containing multiple metal species and reveals the vital importance of the communitive effect between adjacent single atoms toward improved catalysis.",null,"AMER CHEMICAL SOC",2021-11-24,null,"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",143,46,19417,19424,eng,null,null,scientific_journal,null,null,10.1021/jacs.1c08050,0002-7863,1520-5126,null,null,false,disclosed
insert,merge,null,49703038,null,"Synergizing metal-support interactions and spatial confinement boosts dynamics of atomic nickel for hydrogenations",null,"[Jian Gu,Minzhen Jian,Li Huang,Zhihu Sun,Aowen Li,Yang Pan,Jiuzhong Yang,Wu Wen,Wu Zhou,Yue Lin,Hui-Juan Wang,Xinyu Liu,Leilei Wang,Xianxian Shi,Xiaohui Huang,Lina Cao,Si Chen,Xusheng Zheng,Haibin Pan,Junfa Zhu,Shiqiang Wei,Wei-Xue Li,Junling Lu]",null,null,"Synergizing metal-support interactions and spatial confinement through atomic copper grippers boost the dynamics of highly loaded atomic nickel for high activity, high thermal/chemical stability and unprecedented coke inhibition in hydrogenation reactions. Atomically dispersed metal catalysts maximize atom efficiency and display unique catalytic properties compared with regular metal nanoparticles. However, achieving high reactivity while preserving high stability at appreciable loadings remains challenging. Here we solve the challenge by synergizing metal-support interactions and spatial confinement, which enables the fabrication of highly loaded atomic nickel (3.1 wt%) along with dense atomic copper grippers (8.1 wt%) on a graphitic carbon nitride support. For the semi-hydrogenation of acetylene in excess ethylene, the fabricated catalyst shows extraordinary catalytic performance in terms of activity, selectivity and stability-far superior to supported atomic nickel alone in the absence of a synergizing effect. Comprehensive characterization and theoretical calculations reveal that the active nickel site confined in two stable hydroxylated copper grippers dynamically changes by breaking the interfacial nickel-support bonds on reactant adsorption and making these bonds on product desorption. Such a dynamic effect confers high catalytic performance, providing an avenue to rationally design efficient, stable and highly loaded, yet atomically dispersed, catalysts.",null,"NATURE PORTFOLIO",2021-10,null,"NATURE NANOTECHNOLOGY",16,10,1141,+,eng,null,null,scientific_journal,null,null,10.1038/s41565-021-00951-y,1748-3387,1748-3395,null,null,false,disclosed
insert,merge,null,49703041,null,"A stable low-temperature H<sub>2</sub>-production catalyst by crowding Pt on α-MoC",null,"[Xiao Zhang,Mengtao Zhang,Yuchen Deng,Mingquan Xu,Luca Artiglia,Wen Wen,Rui Gao,Bingbing Chen,Siyu Yao,Xiaochen Zhang,Mi Peng,Jie Yan,Aowen Li,Zheng Jiang,Xingyu Gao,Sufeng Cao,Ce Yang,A. Jeremy Kropf,Jinan Shi,Jinglin Xie,Mingshu Bi,Jeroen A. van Bokhoven,Yong-Wang Li,Xiaodong Wen,Maria Flytzani-Stephanopoulos,Chuan Shi,Wu Zhou,Ding Ma]",null,null,"The water-gas shift (WGS) reaction is an industrially important source of pure hydrogen (H-2) at the expense of carbon monoxide and water(1,2.) This reaction is of interest for fuel-cell applications, but requires WGS catalysts that are durable and highly active at low temperatures(3). Here we demonstrate that the structure (Pt1Ptn)/alpha-MoC, where isolated platinum atoms (Pt-1) and subnanometre platinum clusters (Pt-n) are stabilized on alpha-molybdenum carbide (alpha-MoC), catalyses the WGS reaction even at 313 kelvin, with a hydrogen-production pathway involving direct carbon monoxide dissociation identified. We find that it is critical to crowd the alpha-MoC surface with Pt-1 and Pt-n species, which prevents oxidation of the support that would cause catalyst deactivation, as seen with gold/alpha-MoC (ref. (4)), and gives our system high stability and a high metal-normalized turnover number of 4,300,000 moles of hydrogen per mole of platinum. We anticipate that the strategy demonstrated here will be pivotal for the design of highly active and stable catalysts for effective activation of important molecules such as water and carbon monoxide for energy production.",null,"NATURE PORTFOLIO",2021-01-21,null,NATURE,589,7842,396,+,eng,null,null,scientific_journal,null,null,10.1038/s41586-020-03130-6,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,49703039,null,"Maximizing the Synergistic Effect of CoNi Catalyst on α-MoC for Robust Hydrogen Production",null,"[Yuzhen Ge,Xuetao Qin,Aowen Li,Yuchen Deng,Lili Lin,Mengtao Zhang,Qiaolin Yu,Siwei Li,Mi Peng,Yao Xu,Xueyao Zhao,Mingquan Xu,Wu Zhou,Siyu Yao,Ding Ma]",null,null,"We report the syntheses of highly dispersed CoNi bimetallic catalysts on the surface of alpha-MoC based on the strong metal support interaction (SMSI) effect. The interaction between the nearly atomically dispersed Co and Ni atoms was observed for the first time by the real-space chemical mapping at the atomic level. Combined with the ability of alpha-MoC to split water at low temperatures, the as-synthesized CoNi/alpha-MoC catalysts exhibited robust and synergistic performance for the hydrogen production from hydrolysis of ammonia borane. The metal-normalized activity of the bimetallic 1.5Co1.5Ni/alpha-MoC catalyst reached 321.1 mol(H2).mol(-1) (CoNi).min(-1) at 298 K, which surpasses all the noble metal-free catalysts ever reported and is four times higher than that of the commercial Pt/C catalyst.",null,"AMER CHEMICAL SOC",2021-01-20,null,"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",143,2,628,633,eng,null,null,scientific_journal,null,null,10.1021/jacs.0c11285,0002-7863,1520-5126,null,null,false,disclosed
insert,merge,null,49703040,null,"Atomically Dispersed Ni/α-MoC Catalyst for Hydrogen Production from Methanol/Water",null,"[Lili Lin,Qiaolin Yu,Mi Peng,Aowen Li,Siyu Yao,Shuheng Tian,Xi Liu,Ang Li,Zheng Jiang,Rui Gao,Xiaodong Han,Yong-Wang Li,Xiao-Dong Wen,Wu Zhou,Ding Ma]",null,null,"Methanol-water reforming is a promising solution for H-2 production/transportation in stationary and mobile hydrogen applications. Developing inexpensive catalysts with sufficiently high activity, selectivity, and stability remains challenging. In this paper, nickel-supported over face-centered cubic (fcc) phase alpha-MoC has been discovered to exhibit extraordinary hydrogen production activity in the aqueous-phase methanol reforming reaction. Under optimized condition, the hydrogen production rate of 2% Ni/alpha-MoC is about 6 times higher than that of conventional noble metal 2% Pt/Al2O3 catalyst. We demonstrate that Ni is atomically dispersed over alpha-MoC via carbon bridge bonds, forming a Ni-1-C-x motif on the carbide surface. Such Ni-1-C-x motifs can effectively stabilize the isolated Ni-1 sites over the alpha-MoC substrate, rendering maximized active site density and high structural stability. In addition, the synergy between Ni-1-C-x motif and alpha-MoC produces an active interfacial structure for water dissociation, methanol activation, and successive reforming processes with compatible activity.",null,"AMER CHEMICAL SOC",2021-01-13,null,"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",143,1,309,317,eng,null,null,scientific_journal,null,null,10.1021/jacs.0c10776,0002-7863,1520-5126,null,null,false,disclosed
insert,merge,null,49703042,null,"Single-atom electron microscopy for energy-related nanomaterials",null,"[Mingquan Xu,Aowen Li,Meng Gao,Wu Zhou]",null,null,"The development of the aberration correction technique has enabled atomic resolution imaging in scanning transmission electron microscopy (STEM) under low accelerating voltages and pushed the detection limit of STEM-based imaging and spectroscopy analysis down to the single-atom level. The so-called ""single-atom electron microscopy"" brings new opportunities to study the structure-property relationship in energy-related nanomaterials at the atomic scale. In this review, we will firstly summarize some recent advances in low-voltage STEM imaging and spectroscopy with single-atom sensitivity, including emerging techniques such as STEM-DPC imaging andin situSTEM, by using two-dimensional (2D) materials as model systems. We will then discuss the application of these single-atom electron microscopy techniques to more complex energy materialsviaspecific examples. These powerful and comprehensive capabilities of aberration-corrected STEM with single-atom sensitivity have proven to be invaluable for unveiling the origins of functionalities of energy-related nanomaterials and guiding the design of novel materials with desired performance.",null,"ROYAL SOC CHEMISTRY",2020-08-28,null,"JOURNAL OF MATERIALS CHEMISTRY A",8,32,16142,16165,eng,null,null,null,null,null,10.1039/d0ta04918b,2050-7488,2050-7496,null,null,false,disclosed
insert,merge,null,49703043,null,"Electroreduction of CO<sub>2</sub> to Formate on a Copper-Based Electrocatalyst at High Pressures with High Energy Conversion Efficiency",null,"[Jiachen Li,Yun Kuang,Yongtao Meng,Xin Tian,Wei-Hsuan Hung,Xiao Zhang,Aowen Li,Mingquan Xu,Wu Zhou,Ching-Shun Ku,Ching-Yu Chiang,Guanzhou Zhu,Jinyu Guo,Xiaoming Sun,Hongjie Dai]",null,null,"Electrocatalytic CO2 reduction (CO2RR) to valuable fuels is a promising approach to mitigate energy and environmental problems, but controlling the reaction pathways and products remains challenging. Here a novel Cu2O nanoparticle film was synthesized by square-wave (SW) electrochemical redox cycling of high-purity Cu foils. The cathode afforded up to 98% Faradaic efficiency for electroreduction of CO2 to nearly pure formate under >= 45 atm CO2 in bicarbonate catholytes. When this cathode was paired with a newly developed NiFe hydroxide carbonate anode in KOH/borate anolyte, the resulting two-electrode high-pressure electrolysis cell achieved high energy conversion efficiencies of up to 55.8% stably for long-term formate production. While the high-pressure conditions drastically increased the solubility of CO2 to enhance CO2 reduction and suppress hydrogen evolution, the (111)-oriented Cu2O film was found to be important to afford nearly 100% CO2 reduction to formate. The results have implications for CO2 reduction to a single liquid product with high energy conversion efficiency.",null,"AMER CHEMICAL SOC",2020-04-22,null,"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",142,16,7276,7282,eng,null,null,scientific_journal,null,null,10.1021/jacs.0c00122,0002-7863,1520-5126,null,null,false,disclosed
insert,merge,null,49703044,null,"Construction of a sp<SUP>3</SUP>/sp<SUP>2</SUP> Carbon Interface in 3D N-Doped Nanocarbons for the Oxygen Reduction Reaction",null,"[Jian Gao,Yun Wang,Haihua Wu,Xi Liu,Leilei Wang,Qiaolin Yu,Aowen Li,Hong Wang,Chuqiao Song,Zirui Gao,Mi Peng,Mengtao Zhang,Na Ma,Jiaou Wang,Wu Zhou,Guoxiong Wang,Zhen Yin,Ding Ma]",null,null,"The development of highly efficient metal-free carbon electrocatalysts for the oxygen reduction reaction (ORR) is one very promising strategy for the exploitation and commercialization of renewable and clean energy, but this still remains a significant challenge. Herein, we demonstrate a facile approach to prepare three-dimensional (3D) N-doped carbon with a sp(3)/sp(2) carbon interface derived from ionic liquids via a simple pyrolysis process. The tunable hybrid sp(3) and sp(2) carbon composition and pore structures stem from the transformation of ionic liquids to polymerized organics and introduction of a Co metal salt. Through tuning both composition and pores, the 3D N-doped nanocarbon with a high sp(3)/sp(2) carbon ratio on the surface exhibits a superior electrocatalytic performance for the ORR compared to that of the commercial Pt/C in Zn-air batteries. Density functional theory calculations suggest that the improved ORR performance can be ascribed to the existence of N dopants at the sp(3)/sp(2) carbon interface, which can lower the theoretical overpotential of the ORR.",null,"WILEY-V C H VERLAG GMBH",2019-10-14,null,"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",58,42,15089,15097,eng,null,null,scientific_journal,null,null,10.1002/anie.201907915,1433-7851,1521-3773,null,null,false,disclosed
insert,merge,null,49703046,null,"Supported Rhodium Catalysts for Ammonia-Borane Hydrolysis: Dependence of the Catalytic Activity on the Highest Occupied State of the Single Rhodium Atoms",null,"[Liangbing Wang,Hongliang Li,Wenbo Zhang,Xiao Zhao,Jianxiang Qiu,Aowen Li,Xusheng Zheng,Zhenpeng Hu,Rui Si,Jie Zeng]",null,null,"Supported metal nanocrystals have exhibited remarkable catalytic performance in hydrogen generation reactions, which is influenced and even determined by their supports. Accordingly, it is of fundamental importance to determine the direct relationship between catalytic performance and metal-support interactions. Herein, we provide a quantitative profile for exploring metal-support interactions by considering the highest occupied state in single-atom catalysts. The catalyst studied consisted of isolated Rh atoms dispersed on the surface of VO2 nanorods. It was observed that the activation energy of ammonia-borane hydrolysis changed when the substrate underwent a phase transition. Mechanistic studies indicate that the catalytic performance depended directly on the highest occupied state of the single Rh atoms, which was determined by the band structure of the substrates. Other metal catalysts, even with non-noble metals, that exhibited significant catalytic activity towards NH3BH3 hydrolysis were rationally designed by adjusting their highest occupied states.",null,"WILEY-V C H VERLAG GMBH",2017-04-18,null,"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",56,17,4712,4718,eng,null,null,scientific_journal,null,null,10.1002/anie.201701089,1433-7851,1521-3773,null,null,false,disclosed
insert,merge,null,49703047,null,"Atomic-level insights in optimizing reaction paths for hydroformylation reaction over Rh/CoO single-atom catalyst",null,"[Liangbing Wang,Wenbo Zhang,Shenpeng Wang,Zehua Gao,Zhiheng Luo,Xu Wang,Rui Zeng,Aowen Li,Hongliang Li,Menglin Wang,Xusheng Zheng,Junfa Zhu,Wenhua Zhang,Chao Ma,Rui Si,Jie Zeng]",null,null,"Rh-based heterogeneous catalysts generally have limited selectivity relative to their homogeneous counterparts in hydroformylation reactions despite of the convenience of catalyst separation in heterogeneous catalysis. Here, we develop CoO-supported Rh single-atom catalysts (Rh/CoO) with remarkable activity and selectivity towards propene hydroformylation. By increasing Rh mass loading, isolated Rh atoms switch to aggregated clusters of different atomicity. During the hydroformylation, Rh/CoO achieves the optimal selectivity of 94.4% for butyraldehyde and the highest turnover frequency number of 2,065 h(-1) among the obtained atomic-scale Rh-based catalysts. Mechanistic studies reveal that a structural reconstruction of Rh single atoms in Rh/CoO occurs during the catalytic process, facilitating the adsorption and activation of reactants. In kinetic view, linear products are determined as the dominating products by analysing reaction paths deriving from the two most stable co-adsorbed configurations. As a bridge of homogeneous and heterogeneous catalysis, single-atom catalysts can be potentially applied in other industrial reactions.",null,"NATURE PUBLISHING GROUP",2016-12-22,null,"NATURE COMMUNICATIONS",7,null,null,null,eng,null,null,scientific_journal,null,null,10.1038/ncomms14036,2041-1723,null,null,null,false,disclosed
